date,name,ticker,open,high,low,close,volume
2020-01-05,KASE,KASE_INDEX,2360.27,2378.92,2360.27,2371.62,13.01
2020-01-06,KASE,KASE_INDEX,2370.14,2378.64,2351.79,2359.14,29.02
2020-01-08,KASE,KASE_INDEX,2359.89,2366.87,2337.64,2352.99,59.75
2020-01-09,KASE,KASE_INDEX,2354.19,2372.3,2347.01,2362.17,64.01
2020-01-10,KASE,KASE_INDEX,2362.12,2381.05,2362.12,2363.46,1386.32
2020-01-13,KASE,KASE_INDEX,2365.21,2388.52,2364.3,2368.07,1013.97
2020-01-14,KASE,KASE_INDEX,2371.34,2406.36,2371.34,2386.04,1417.11
2020-01-15,KASE,KASE_INDEX,2388.21,2405.16,2379.75,2391.37,1131.3
2020-01-16,KASE,KASE_INDEX,2391.37,2397.34,2377.63,2381.28,1436.94
2020-01-17,KASE,KASE_INDEX,2381.84,2391.77,2370.72,2375.6,2215.96
2020-01-20,KASE,KASE_INDEX,2375.6,2386.41,2373.5,2382.6,2358.17
2020-01-21,KASE,KASE_INDEX,2379.32,2383.43,2333.15,2345.57,2162.97
2020-01-22,KASE,KASE_INDEX,2345.54,2364.21,2339.09,2342.61,392.91
2020-01-23,KASE,KASE_INDEX,2342.61,2343.61,2276.5,2313.33,2096.22
2020-01-24,KASE,KASE_INDEX,2310.73,2310.73,2275.37,2277.42,84.24
2020-01-27,KASE,KASE_INDEX,2275.64,2289.57,2255.82,2257.55,489.69
2020-01-28,KASE,KASE_INDEX,2257.56,2275.49,2248.34,2275.08,369.99
2020-01-29,KASE,KASE_INDEX,2275.49,2300.28,2261.33,2299.22,34.6
2020-01-30,KASE,KASE_INDEX,2300.54,2301.62,2278.67,2287.51,252.3
2020-01-31,KASE,KASE_INDEX,2287.51,2318.05,2285.22,2299.25,379.21
2020-02-03,KASE,KASE_INDEX,2300.53,2310.47,2277.99,2300.36,200.7
2020-02-04,KASE,KASE_INDEX,2304.51,2315.07,2285.47,2314.45,703.99
2020-02-05,KASE,KASE_INDEX,2314.46,2332.18,2305.01,2322.44,55.73
2020-02-06,KASE,KASE_INDEX,2322.84,2347.57,2316.23,2322.05,82.51
2020-02-07,KASE,KASE_INDEX,2321.77,2349.16,2321.77,2342.09,66.49
2020-02-10,KASE,KASE_INDEX,2342.68,2344.45,2320.88,2330.54,28.54
2020-02-11,KASE,KASE_INDEX,2330.52,2330.99,2296.58,2314.16,129.16
2020-02-12,KASE,KASE_INDEX,2314.3,2333.16,2296.99,2316.42,1093.14
2020-02-13,KASE,KASE_INDEX,2316.4,2322.5,2311.86,2322.5,21.78
2020-02-14,KASE,KASE_INDEX,2322.67,2339.62,2322.02,2322.02,18.6
2020-02-17,KASE,KASE_INDEX,2322.17,2346.15,2322.17,2341.93,31.51
2020-02-18,KASE,KASE_INDEX,2343.12,2344.44,2334.13,2336.63,24.57
2020-02-19,KASE,KASE_INDEX,2336.63,2348.39,2333.69,2340.49,44.87
2020-02-20,KASE,KASE_INDEX,2338.33,2386.84,2338.33,2381.23,95.12
2020-02-21,KASE,KASE_INDEX,2390.16,2394.52,2366.12,2373.34,97.2
2020-02-24,KASE,KASE_INDEX,2373.11,2378.97,2326.13,2335.79,76.08
2020-02-25,KASE,KASE_INDEX,2335.9,2341.68,2323.79,2337.39,86.19
2020-02-26,KASE,KASE_INDEX,2331.01,2335.54,2293.37,2304.73,110.68
2020-02-27,KASE,KASE_INDEX,2304.64,2306.87,2283.2,2302.72,48.99
2020-02-28,KASE,KASE_INDEX,2302.27,2302.27,2208.57,2222.59,171.89
2020-03-02,KASE,KASE_INDEX,2223.17,2261.71,2201.28,2232.71,170.72
2020-03-03,KASE,KASE_INDEX,2234.32,2283.04,2234.32,2283.04,137.82
2020-03-04,KASE,KASE_INDEX,2281.82,2292.8,2255.75,2285.38,75.55
2020-03-05,KASE,KASE_INDEX,2285.38,2292.61,2260.97,2266.44,73.56
2020-03-06,KASE,KASE_INDEX,2260.6,2269.74,2240.13,2246.39,112.21
2020-03-10,KASE,KASE_INDEX,2241.5,2241.5,2080.88,2139.18,190.17
2020-03-11,KASE,KASE_INDEX,2132.56,2158.49,2108.05,2153.32,180.38
2020-03-12,KASE,KASE_INDEX,2149.97,2149.97,2095.51,2103.64,207.77
2020-03-13,KASE,KASE_INDEX,2108.85,2108.85,2017.26,2102.68,280.81
2020-03-16,KASE,KASE_INDEX,2093.39,2113.11,2027.9,2055.72,250.76
2020-03-17,KASE,KASE_INDEX,2057.19,2104.43,2047.89,2069.66,219.98
2020-03-18,KASE,KASE_INDEX,2089.76,2107.57,2060.64,2105.43,138.42
2020-03-19,KASE,KASE_INDEX,2098.06,2119.69,2059.19,2116.4,302.43
2020-03-20,KASE,KASE_INDEX,2116.54,2159.55,2113.79,2149.09,101.43
2020-03-26,KASE,KASE_INDEX,2149.85,2172.21,2123.35,2143.38,174.0
2020-03-27,KASE,KASE_INDEX,2150.75,2166.48,2145.74,2155.58,156.14
2020-03-30,KASE,KASE_INDEX,2157.62,2176.48,2145.25,2175.54,67.59
2020-03-31,KASE,KASE_INDEX,2173.61,2224.17,2144.92,2224.17,257.29
